makeid,modelid,manufacturerid,VIN,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor
467,1850,984,1GB3CYCGXFF5,,,,,Incomplete - Chassis Cab (Number of Cab Unknown),8,,6000,366.1424646,6,,RWD/Rear-Wheel Drive,,,L96,,,Gasoline,"Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",CHEVROLET,GENERAL MOTORS LLC,Silverado,2015,FLINT,,3500,,,Work Truck/Fleet/Base,INCOMPLETE VEHICLE,,,Hydraulic,,,,,,,,,,,,,,,1st Row (Driver and Passenger),Ethanol (E85),Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,,,,,,"Engines listed as flexible fuel do not necessarily mean the vehicle is equipped for flexible fuel., Body Style 03: Commercial Special and RV Cutaway, Two (2) Door Cab pickup, Motor Home Chassis",,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GB3CYCG*FF
483,1943,994,1J4FY29S4SP2,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,4000,244.0949764,4,2,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",JEEP,FCA US LLC,Wrangler,1995,TOLEDO,,,,,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,UNITED STATES (USA),Toledo Assembly # 2,OHIO,,Manual,,,,,,,,,,,,,,,,,,,,,Body Type: Open Body,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1J4FY29S*SP
499,2739,20996,5XXGN4A74GG3,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2400,146.4569858,2.4,4,,,,T-GDI THETA II,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",KIA,"KIA GEORGIA, INC",Optima,2016,,,"GLS, JSL, TAX (Middle Grade)",,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),"Kia Motor Manufacturing, Georgia",GEORGIA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,Yes,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,5XXGN4A7*GG
452,1716,966,WBANW13568CZ,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2979.168235,181.8,3,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,535i,2008,DINGOLFING,,5-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,300,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,WBANW135*8C
499,2460,21994,KNDJT2A22B73,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,2000,122.0474882,2,4,,,,Beta,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",KIA,KIA CORPORATION,Soul,2011,GWANGJU,,GL(Middle-low grade),,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,1st and 2nd Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,,,,,SOUTH KOREA,Kia Motors Corporation,,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,Wagon body style,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,KNDJT2A2*B7
460,1802,977,2FMGK5D81DBD,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3500,213.5831043,3.5,4,FWD/Front-Wheel Drive,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",FORD,"FORD MOTOR COMPANY OF CANADA, LTD.",Flex,2013,OAKVILLE,,,,,Limited,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,288,,CANADA,Oakville Assembly,ONTARIO,,Manual,,,,,,,,,,,,,,,,1st and 2nd and 3rd Rows,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Ti-VCT,,,,,,,,,,6,,,Ford,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,2FMGK5D8*DB
467,1850,984,1GCEC14C78Z1,,,,,Pickup,8,,4800,292.9139717,4.8,2,4x2,,,LY2,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,Silverado,2008,ROANOKE,,1/2 Ton,,,LS,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),Fort Wayne Assembly,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GCEC14C*8Z
452,2350,972,WB10495A12ZE,,,Not Applicable,Not Applicable,Motorcycle - Dual Sport / Adventure / Supermoto / On/Off-road,,,1150,70.17730571,1.15,,,,,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",BMW,BMW AG MOTORCYCLES,R 1150 GS,2002,BERLIN,,,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,,,,,,,,GERMANY,,,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,Engine power variant designation,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,WB10495A*2Z
564,3211,14610,JYARJ06E05A0,,,Not Applicable,Not Applicable,Motorcycle - Sport,4,49 States (Except California),599,36.55322271,0.599,,,,4,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",YAMAHA,"YAMAHA MOTOR CO., LTD.",YZF-R6,2005,HAMAMATSU,,,,,R6/R6C,MOTORCYCLE,,,,,,,,,,,,,,,,,In-Line,,,,,,,JAPAN,,SHIZUOKA,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,Water,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,JYARJ06E*5A
498,2459,1034,5NPEC4AC1DH7,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2400,146.4569858,2.4,4,,,,DOHC GDI,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",HYUNDAI,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Sonata,2013,,,SE / SE NAVI / Limited / Limited NAVI,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,Stoichiometric Gasoline Direct Injection (SGDI),,,,UNITED STATES (USA),Hyundai Motor Manufacturing Alabama,ALABAMA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,YFA,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,5NPEC4AC*DH
3888,8479,4249,1HD1CT315CC4,,,Not Applicable,Not Applicable,Motorcycle - Custom,2,U.S.,1200,73.22849291,1.2,,,,4,Evolution,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",HARLEY DAVIDSON,HARLEY-DAVIDSON MOTOR COMPANY,Sportster 1200 Custom,2012,KANSAS CITY,,XL1200C,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,V-Shaped,,,,,59,,UNITED STATES (USA),,MISSOURI,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Heavyweight Motorcycle (901cm3 or larger),,,"Domestic, Normal Introduction",,Not Applicable,Not Applicable,,,,,Air,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,1HD1CT31*CC
474,1863,990,2HGES165X3H6,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1671.480528,102,1.671480528,4,,,,D17A1,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",HONDA,"HONDA OF CANADA MFG., INC.",Civic,2003,ALLISTON,,,,Automatic,LX,PASSENGER CAR,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),4,In-Line,1st Row (Driver and Passenger),,,,115,,CANADA,,ONTARIO,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,2HGES165*3H
448,2465,1088,4T1BF28B62U2,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,3000,183.0712323,3,4,4x2,,4,1MZ-FE,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Avalon,2002,GEORGETOWN,,MCX20L,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,184,,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,Water,217,,,,,,,,,,,,,,6,,,Toyota,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,4T1BF28B*2U
478,1911,996,JN8DR09Y81W5,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,3500,213.5831043,3.5,4,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",NISSAN,"NISSAN MOTOR COMPANY, LTD",Pathfinder,2001,MIYAWAKA,,,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,,,,,,,,JAPAN,Kyushu Plant,FUKUOKA,,,,,,,,,,,,,,,,,,,,Wagon Body Type,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,JN8DR09Y*1W
467,1850,984,1GCEC19X89Z1,,,,,Pickup,6,,4300,262.4020996,4.3,4,4x2,,,LU3,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,Silverado,2009,FORT WAYNE,,1/2 Ton,,,LS,TRUCK,,,Hydraulic,,,,,,,,,,,,Overhead Valve (OHV),,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,UNITED STATES (USA),,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,Water,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GCEC19X*9Z
